PP,Blok,Condition,timestamp,Squality,Sneutral,Shappy,Ssad,Sangry,Ssurprised,Sscared,Sdisgusted,Svalence,SyHeadOrientation,SxHeadOrientation,SzHeadOrientation,SmouthOpen,SleftEyeClosed,SrightEyeClosed,SleftEyebrowLowered,SleftEyebrowRaised,SrightEyebrowLowered,SrightEyebrowRaised,SgazeDirectionForward,SgazeDirectionLeft,SgazeDirectionRight,SAu01_InnerBrowRaiser,SAu02_OuterBrowRaiser,SAu04_BrowLowerer,SAu05_UpperLidRaiser,SAu06_CheekRaiser,SAu07_LidTightener,SAu09_NoseWrinkler,SAu10_UpperLipRaiser,SAu12_LipCornerPuller,SAu14_Dimpler,SAu15_LipCornerDepressor,SAu17_ChinRaiser,SAu20_LipStretcher,SAu23_LipTightener,SAu24_LipPressor,SAu25_LipsPart,SAu26_JawDrop,SAu27_MouthStretch,SAu43_EyesClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP1,1,R,20120918T131600000,0,944941,0,968862,0,23946,0,1300,0,16315,0,2024,0,1087,0,286,0,7396,-6,954147,-5,818151,0,584952,0,0,0,0,0,0,0,50000,0,25000,0,20833,0,0,0,962500,0,0,0,16667,0,0,0,0,0,29167,0,141667,0,0,0,0,0,533333,0,558333,0,0,0,62500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T131700000,0,930303,0,884570,0,76952,0,1144,0,17392,0,2032,0,651,0,344,0,58770,-10,564172,-6,567912,-3,906502,0,0,0,20921,0,0,0,4184,0,108787,0,0,0,0,0,945607,0,0,0,0,0,0,0,0,0,0,0,96234,0,0,0,0,0,560669,0,71130,0,0,0,29289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T131800000,0,933104,0,931965,0,31468,0,371,0,23774,0,1722,0,1756,0,597,0,7164,-10,721106,-7,55848,-2,452367,0,0,0,0,0,0,0,25000,0,25000,0,4167,0,0,0,966667,0,0,0,12500,0,0,0,0,0,0,0,170833,0,0,0,0,0,604167,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T131900000,0,904466,0,806947,0,105516,0,6459,0,9809,0,1563,0,441,0,311,0,89651,-10,782755,-5,616126,-4,669924,0,0,0,118644,0,46610,0,38136,0,33898,0,0,0,25424,0,970339,0,4237,0,0,0,118644,0,0,0,0,0,72034,0,0,0,0,0,372881,0,12712,0,4237,0,4237,0,0,0,76271,0,0,0,25424,0,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T132000000,0,929025,0,951412,0,28358,0,1095,0,18130,0,1309,0,3466,0,286,0,8581,-3,880091,-4,621940,-5,893645,0,0,0,33333,0,12500,0,179167,0,125000,0,4167,0,0,0,958333,0,0,0,29167,0,0,0,0,0,0,0,116667,0,0,0,0,0,729167,0,770833,0,0,0,133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T132100000,0,909790,0,860669,0,91528,0,1091,0,15505,0,1192,0,1034,0,341,0,75597,-10,667572,-5,212137,-7,195323,0,0,0,200000,0,16667,0,0,0,16667,0,0,0,0,0,912500,0,20833,0,8333,0,0,0,0,0,0,0,75000,0,37500,0,0,0,916667,0,287500,0,0,0,8333,0,0,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,1,N,20120918T132600000,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,999,0,,
PP1,1,N,20120918T132700000,0,904467,0,889371,0,57581,0,29117,0,16379,0,1627,0,253,0,585,0,17913,-5,511874,-1,829197,2,154035,0,0,0,131579,0,175439,0,807018,0,0,0,473684,0,0,0,833333,0,26316,0,35088,0,0,0,0,0,850877,0,8772,0,0,0,8772,0,350877,0,96491,0,43860,0,149123,0,245614,0,254386,0,0,0,0,0,0,0,0,0,0,0,0,0,35088,,
PP1,1,N,20120918T132800000,0,920910,0,879852,0,62577,0,9506,0,9014,0,1917,0,672,0,198,0,45847,-5,526549,-3,555977,4,88908,0,0,0,75314,0,75314,0,824268,0,12552,0,271967,0,0,0,916318,0,12552,0,25105,0,0,0,0,0,125523,0,16736,0,12552,0,0,0,29289,0,96234,0,179916,0,58577,0,0,0,0,0,0,0,4184,0,0,0,0,0,0,0,0,0,33473,,
PP1,1,N,20120918T132900000,0,923512,0,913070,0,33472,0,10112,0,6385,0,2737,0,648,0,1037,0,19678,-5,596042,-1,824819,1,346101,0,0,0,262500,0,62500,0,845833,0,0,0,529167,0,8333,0,941667,0,8333,0,20833,0,0,0,354167,0,687500,0,4167,0,4167,0,0,0,45833,0,8333,0,0,0,4167,0,8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500,,
PP1,1,N,20120918T133000000,0,903377,0,802018,0,77507,0,35484,0,5505,0,2530,0,981,0,1650,0,41101,0,113499,-1,784241,1,344066,0,49107,0,263393,0,330357,0,736607,0,0,0,272321,0,22321,0,758929,0,49107,0,116071,0,0,0,62500,0,816964,0,35714,0,58036,0,0,0,116071,0,147321,0,517857,0,151786,0,0,0,0,0,0,0,0,0,0,0,107143,0,0,0,0,0,401786,,
